名称	关键字	负责人	参与人	简介	发布时间	上线时间
地外探测机器人
基于仿生机理的双足机器人柔顺腿部结构与弹跳运动研究
智能低空载人飞行器
高运动性能的双足人形机器人
云控平台项目
深海机器人项目
之江天枢人工智能开源平台
智能机器人云脑基础理论及关键技术
