职位	职能	任期
主任		5年
主任助理
执行主任
总设计师
首席科学家
行政助理	日常管理、办公用品
HRBP	招聘、入职、离职、考核、转正	3年
PI	项目立项、项目开展、项目结题、招聘面试、员工考核
党委书记
党支部书记
党支部副书记
党支部组织委员
党支部纪律委员
党支部宣传委员
院长
执行院长
